State,efficiency_gap,partisan_bias,d_seats,r_seats,d_count_0,r_count_0,d_count_1,r_count_1,d_count_2,r_count_2,d_count_3,r_count_3,d_count_4,r_count_4,d_count_5,r_count_5,d_count_6,r_count_6,d_count_7,r_count_7
156,-0.012317077415324467,0.0,4,4,263184,85902,179585,161376,156493,193842,152365,219513,128461,200256,118077,226124,194048,150104,217562,140011
157,-0.012317077415324467,0.0,4,4,263184,85902,179585,161376,156493,193842,152365,219513,118680,222359,127858,204021,194048,150104,217562,140011
158,-0.13580612601156195,-0.125,3,5,263184,85902,179585,161376,156493,193842,168218,189844,118680,222359,127858,204021,178195,179773,217562,140011
159,-0.13384839730697481,-0.125,3,5,175234,177278,179585,161376,156493,193842,168218,189844,118680,222359,127858,204021,266145,88397,217562,140011
160,-0.13407553115411625,-0.125,3,5,175234,177278,179585,161376,156493,193842,168218,189844,118680,222359,127870,204642,266133,87776,217562,140011
161,-0.13407553115411625,-0.125,3,5,175234,177278,179585,161376,156493,193842,168218,189844,118680,222359,127870,204642,207877,137544,275818,90243
162,-0.007586736962140412,0.0,4,4,206257,143929,179585,161376,156493,193842,168218,189844,118680,222359,127870,204642,176854,170893,275818,90243
163,-0.007586736962140412,0.0,4,4,206257,143929,179585,161376,156493,193842,168218,189844,119615,231287,126935,195714,176854,170893,275818,90243
164,-0.007586736962140412,0.0,4,4,206257,143929,179585,161376,156493,193842,111996,228279,175837,192852,126935,195714,176854,170893,275818,90243
165,-0.009006592622706998,-0.125,4,4,206257,143929,179585,161376,156493,193842,172724,171066,175837,192852,126935,195714,116126,228106,275818,90243
166,-0.13897128820055812,-0.125,3,5,199106,132671,179585,161376,156493,193842,179875,182324,175837,192852,126935,195714,116126,228106,275818,90243
167,-0.13897128820055812,-0.125,3,5,199106,132671,179585,161376,153633,194918,179875,182324,175837,192852,129795,194638,116126,228106,275818,90243
168,-0.14081311764349172,-0.125,3,5,199106,132671,179585,161376,153633,194918,179875,182324,278967,81961,129795,194638,116126,228106,172688,201134
169,-0.14081311764349172,-0.125,3,5,199106,132671,179585,161376,128909,202874,179875,182324,278967,81961,154519,186682,116126,228106,172688,201134
170,-0.14081311764349172,-0.125,3,5,206828,132231,179585,161376,128909,202874,179875,182324,271245,82401,154519,186682,116126,228106,172688,201134
171,-0.14081311764349172,-0.125,3,5,206828,132231,179585,161376,129919,193309,179875,182324,271245,82401,153509,196247,116126,228106,172688,201134
172,-0.14081311764349172,-0.125,3,5,276926,80921,179585,161376,129919,193309,179875,182324,201147,133711,153509,196247,116126,228106,172688,201134
173,-0.14203526279888465,-0.125,3,5,276926,80921,172783,164772,129919,193309,179875,182324,201147,133711,153509,196247,122928,224710,172688,201134
174,-0.1405490252082688,-0.125,3,5,276926,80921,179503,162194,129919,193309,179875,182324,201147,133711,153509,196247,116208,227288,172688,201134
175,-0.1405490252082688,-0.125,3,5,276926,80921,179503,162194,141445,189362,179875,182324,201147,133711,141983,200194,116208,227288,172688,201134
176,-0.14027057992330555,-0.125,3,5,276926,80921,181549,160924,141445,189362,179875,182324,201147,133711,141983,200194,114162,228558,172688,201134
177,-0.14027057992330555,-0.125,3,5,276926,80921,181549,160924,131158,194339,179875,182324,201147,133711,152270,195217,114162,228558,172688,201134
178,-0.14027057992330555,-0.125,3,5,276926,80921,181549,160924,129898,194990,179875,182324,201147,133711,152270,195217,115422,227907,172688,201134
179,-0.1399731171124363,-0.125,3,5,276926,80921,115005,227495,129898,194990,179875,182324,201147,133711,152270,195217,181966,161336,172688,201134
180,-0.1399731171124363,-0.125,3,5,276926,80921,115005,227495,129898,194990,175513,194155,201147,133711,152270,195217,181966,161336,177050,189303
181,-0.1399731171124363,-0.125,3,5,276926,80921,112962,225593,131941,196892,175513,194155,201147,133711,152270,195217,181966,161336,177050,189303
182,-0.1420151688092481,-0.125,3,5,276926,80921,176215,161396,131941,196892,175513,194155,201147,133711,152270,195217,118713,225533,177050,189303
183,-0.1384997970865868,-0.125,3,5,276926,80921,179744,167664,128412,190624,175513,194155,201147,133711,152270,195217,118713,225533,177050,189303
184,-0.1345032460763794,-0.125,3,5,276926,80921,179744,167664,128412,190624,175513,194155,171290,183925,152270,195217,118713,225533,206907,139089
185,-0.13943990874458134,-0.125,3,5,276926,80921,179744,167664,128412,190624,175513,194155,171290,183925,201225,131013,118713,225533,157952,203293
186,-0.00959398299833184,0.0,4,4,276926,80921,179744,167664,128412,190624,158874,204141,187929,173939,201225,131013,118713,225533,157952,203293
187,-0.009129309487987203,0.0,4,4,276926,80921,127958,189783,180198,168505,158874,204141,187929,173939,201225,131013,118713,225533,157952,203293
188,-0.009129309487987203,0.0,4,4,257123,105850,127958,189783,180198,168505,158874,204141,207732,149010,201225,131013,118713,225533,157952,203293
189,-0.009129309487987203,0.0,4,4,250510,108165,127958,189783,180198,168505,158874,204141,207732,149010,207838,128698,118713,225533,157952,203293
190,-0.009129309487987203,0.0,4,4,250510,108165,129911,191479,180198,168505,158874,204141,207732,149010,207838,128698,116760,223837,157952,203293
191,-0.009129309487987203,0.0,4,4,250510,108165,129911,191479,180198,168505,162483,209752,207732,149010,207838,128698,113151,218226,157952,203293
192,-0.009129309487987203,0.0,4,4,265533,89630,129911,191479,180198,168505,162483,209752,192709,167545,207838,128698,113151,218226,157952,203293
193,-0.008329496936204812,0.0,4,4,265533,89630,129911,191479,180198,168505,162483,209752,156487,202529,207838,128698,113151,218226,194174,168309
194,-0.00798179915124423,0.0,4,4,265533,89630,129911,191479,180198,168505,156413,214853,156487,202529,213908,123597,113151,218226,194174,168309
195,-0.009801381677080258,0.0,4,4,265533,89630,129911,191479,112245,224203,156413,214853,156487,202529,213908,123597,181104,162528,194174,168309
