map,efficiencygap,seatswon,meanmedian,district,presd,countd,voteshareD,voteshareR
23,0.13272133978111186,3,-0.01685023333993407,1,172898,182105,0.49547931750346225,0.5045206824965377
23,0.13272133978111186,3,-0.01685023333993407,2,141640,168429,0.48119959202214735,0.5188004079778527
23,0.13272133978111186,3,-0.01685023333993407,3,201102,188950,0.5134231835226346,0.48657681647736534
23,0.13272133978111186,3,-0.01685023333993407,4,273636,262193,0.7541714966187938,0.24582850338120615
23,0.13272133978111186,3,-0.01685023333993407,5,121815,127346,0.3605349731324353,0.6394650268675647
23,0.13272133978111186,3,-0.01685023333993407,6,130831,137984,0.4184757225608832,0.5815242774391168
23,0.13272133978111186,3,-0.01685023333993407,7,104795,127008,0.3846512613949544,0.6153487386050456
23,0.13272133978111186,3,-0.01685023333993407,8,220999,215760,0.6335819580666001,0.3664180419333999
24,0.13272133978111186,3,-0.01685023333993407,1,172898,182105,0.49547931750346225,0.5045206824965377
24,0.13272133978111186,3,-0.01685023333993407,2,141640,168429,0.48119959202214735,0.5188004079778527
24,0.13272133978111186,3,-0.01685023333993407,3,201102,188950,0.5134231835226346,0.48657681647736534
24,0.13272133978111186,3,-0.01685023333993407,4,273636,262193,0.7541714966187938,0.24582850338120615
24,0.13272133978111186,3,-0.01685023333993407,5,121815,127346,0.3605349731324353,0.6394650268675647
24,0.13272133978111186,3,-0.01685023333993407,6,130831,137984,0.4184757225608832,0.5815242774391168
24,0.13272133978111186,3,-0.01685023333993407,7,104795,127008,0.3846512613949544,0.6153487386050456
24,0.13272133978111186,3,-0.01685023333993407,8,220999,215760,0.6335819580666001,0.3664180419333999
25,0.13272133978111186,3,-0.01685023333993407,1,172898,182105,0.49547931750346225,0.5045206824965377
25,0.13272133978111186,3,-0.01685023333993407,2,141640,168429,0.48119959202214735,0.5188004079778527
25,0.13272133978111186,3,-0.01685023333993407,3,201102,188950,0.5134231835226346,0.48657681647736534
25,0.13272133978111186,3,-0.01685023333993407,4,273636,262193,0.7541714966187938,0.24582850338120615
25,0.13272133978111186,3,-0.01685023333993407,5,121815,127346,0.3605349731324353,0.6394650268675647
25,0.13272133978111186,3,-0.01685023333993407,6,130831,137984,0.4184757225608832,0.5815242774391168
25,0.13272133978111186,3,-0.01685023333993407,7,104795,127008,0.3846512613949544,0.6153487386050456
25,0.13272133978111186,3,-0.01685023333993407,8,220999,215760,0.6335819580666001,0.3664180419333999
26,0.13272133978111186,3,-0.01697160512985046,1,173088,182390,0.49517826308873514,0.5048217369112649
26,0.13272133978111186,3,-0.01697160512985046,2,141640,168429,0.48119959202214735,0.5188004079778527
26,0.13272133978111186,3,-0.01697160512985046,3,201102,188950,0.5134231835226346,0.48657681647736534
26,0.13272133978111186,3,-0.01697160512985046,4,273636,262193,0.7541714966187938,0.24582850338120615
26,0.13272133978111186,3,-0.01697160512985046,5,121815,127346,0.3605349731324353,0.6394650268675647
26,0.13272133978111186,3,-0.01697160512985046,6,130831,137984,0.4184757225608832,0.5815242774391168
26,0.13272133978111186,3,-0.01697160512985046,7,104605,126723,0.3847190724701039,0.615280927529896
26,0.13272133978111186,3,-0.01697160512985046,8,220999,215760,0.6335819580666001,0.3664180419333999
27,0.13272133978111186,3,-0.01704639863725993,1,173088,182390,0.49517826308873514,0.5048217369112649
27,0.13272133978111186,3,-0.01704639863725993,2,141640,168429,0.48119959202214735,0.5188004079778527
27,0.13272133978111186,3,-0.01704639863725993,3,201102,188950,0.5134231835226346,0.48657681647736534
27,0.13272133978111186,3,-0.01704639863725993,4,273636,262193,0.7541714966187938,0.24582850338120615
27,0.13272133978111186,3,-0.01704639863725993,5,123142,129029,0.3591901386886104,0.6408098613113896
27,0.13272133978111186,3,-0.01704639863725993,6,130831,137984,0.4184757225608832,0.5815242774391168
27,0.13272133978111186,3,-0.01704639863725993,7,103278,125040,0.3866622549732052,0.6133377450267948
27,0.13272133978111186,3,-0.01704639863725993,8,220999,215760,0.6335819580666001,0.3664180419333999
28,0.13272133978111186,3,-0.01613261148740846,1,105178,127282,0.38619572242163486,0.6138042775783651
28,0.13272133978111186,3,-0.01613261148740846,2,141640,168429,0.48119959202214735,0.5188004079778527
28,0.13272133978111186,3,-0.01613261148740846,3,201102,188950,0.5134231835226346,0.48657681647736534
28,0.13272133978111186,3,-0.01613261148740846,4,273636,262193,0.7541714966187938,0.24582850338120615
28,0.13272133978111186,3,-0.01613261148740846,5,123142,129029,0.3591901386886104,0.6408098613113896
28,0.13272133978111186,3,-0.01613261148740846,6,130831,137984,0.4184757225608832,0.5815242774391168
28,0.13272133978111186,3,-0.01613261148740846,7,171188,180148,0.49745951797114896,0.502540482028851
28,0.13272133978111186,3,-0.01613261148740846,8,220999,215760,0.6335819580666001,0.3664180419333999
29,0.13272133978111186,3,-0.01613261148740846,1,105178,127282,0.38619572242163486,0.6138042775783651
29,0.13272133978111186,3,-0.01613261148740846,2,141640,168429,0.48119959202214735,0.5188004079778527
29,0.13272133978111186,3,-0.01613261148740846,3,201102,188950,0.5134231835226346,0.48657681647736534
29,0.13272133978111186,3,-0.01613261148740846,4,273636,262193,0.7541714966187938,0.24582850338120615
29,0.13272133978111186,3,-0.01613261148740846,5,123142,129029,0.3591901386886104,0.6408098613113896
29,0.13272133978111186,3,-0.01613261148740846,6,130831,137984,0.4184757225608832,0.5815242774391168
29,0.13272133978111186,3,-0.01613261148740846,7,171188,180148,0.49745951797114896,0.502540482028851
29,0.13272133978111186,3,-0.01613261148740846,8,220999,215760,0.6335819580666001,0.3664180419333999
30,0.13272133978111186,3,-0.01613261148740846,1,105178,127282,0.38619572242163486,0.6138042775783651
30,0.13272133978111186,3,-0.01613261148740846,2,141640,168429,0.48119959202214735,0.5188004079778527
30,0.13272133978111186,3,-0.01613261148740846,3,201102,188950,0.5134231835226346,0.48657681647736534
30,0.13272133978111186,3,-0.01613261148740846,4,273636,262193,0.7541714966187938,0.24582850338120615
30,0.13272133978111186,3,-0.01613261148740846,5,123142,129029,0.3591901386886104,0.6408098613113896
30,0.13272133978111186,3,-0.01613261148740846,6,130831,137984,0.4184757225608832,0.5815242774391168
30,0.13272133978111186,3,-0.01613261148740846,7,171188,180148,0.49745951797114896,0.502540482028851
30,0.13272133978111186,3,-0.01613261148740846,8,220999,215760,0.6335819580666001,0.3664180419333999
31,0.13272133978111186,3,-0.01613261148740846,1,171188,180148,0.49745951797114896,0.502540482028851
31,0.13272133978111186,3,-0.01613261148740846,2,141640,168429,0.48119959202214735,0.5188004079778527
31,0.13272133978111186,3,-0.01613261148740846,3,201102,188950,0.5134231835226346,0.48657681647736534
31,0.13272133978111186,3,-0.01613261148740846,4,273636,262193,0.7541714966187938,0.24582850338120615
31,0.13272133978111186,3,-0.01613261148740846,5,123142,129029,0.3591901386886104,0.6408098613113896
31,0.13272133978111186,3,-0.01613261148740846,6,130831,137984,0.4184757225608832,0.5815242774391168
31,0.13272133978111186,3,-0.01613261148740846,7,105178,127282,0.38619572242163486,0.6138042775783651
31,0.13272133978111186,3,-0.01613261148740846,8,220999,215760,0.6335819580666001,0.3664180419333999
32,0.13272133978111186,3,-0.01613261148740846,1,105178,127282,0.38619572242163486,0.6138042775783651
32,0.13272133978111186,3,-0.01613261148740846,2,141640,168429,0.48119959202214735,0.5188004079778527
32,0.13272133978111186,3,-0.01613261148740846,3,201102,188950,0.5134231835226346,0.48657681647736534
32,0.13272133978111186,3,-0.01613261148740846,4,273636,262193,0.7541714966187938,0.24582850338120615
32,0.13272133978111186,3,-0.01613261148740846,5,123142,129029,0.3591901386886104,0.6408098613113896
32,0.13272133978111186,3,-0.01613261148740846,6,130831,137984,0.4184757225608832,0.5815242774391168
32,0.13272133978111186,3,-0.01613261148740846,7,171188,180148,0.49745951797114896,0.502540482028851
32,0.13272133978111186,3,-0.01613261148740846,8,220999,215760,0.6335819580666001,0.3664180419333999
33,0.13272133978111186,3,-0.01613261148740846,1,105178,127282,0.38619572242163486,0.6138042775783651
33,0.13272133978111186,3,-0.01613261148740846,2,141640,168429,0.48119959202214735,0.5188004079778527
33,0.13272133978111186,3,-0.01613261148740846,3,201102,188950,0.5134231835226346,0.48657681647736534
33,0.13272133978111186,3,-0.01613261148740846,4,273636,262193,0.7541714966187938,0.24582850338120615
