State,efficiency_gap,partisan_bias,d_seats,r_seats,d_count_0,r_count_0,d_count_1,r_count_1,d_count_2,r_count_2,d_count_3,r_count_3,d_count_4,r_count_4,d_count_5,r_count_5,d_count_6,r_count_6,d_count_7,r_count_7
3203,-0.13679575500116078,-0.125,3,5,170740,207131,173529,174231,129131,189465,125079,215695,194369,164638,234257,108138,142173,214867,240497,102963
3204,-0.13679575500116078,-0.125,3,5,170740,207131,173529,174231,122290,212985,131920,192175,194369,164638,234257,108138,142173,214867,240497,102963
3205,-0.13679575500116078,-0.125,3,5,170740,207131,173529,174231,122290,212985,139592,212611,194369,164638,234257,108138,134501,194431,240497,102963
3206,-0.13679575500116078,-0.125,3,5,170740,207131,173529,174231,140603,214120,121279,211476,194369,164638,234257,108138,134501,194431,240497,102963
3207,-0.13340632953497125,-0.125,3,5,249299,103607,173529,174231,140603,214120,121279,211476,194369,164638,234257,108138,134501,194431,161938,206487
3208,-0.13340632953497125,-0.125,3,5,249299,103607,171951,173235,142181,215116,121279,211476,194369,164638,234257,108138,134501,194431,161938,206487
3209,-0.13162621734592125,-0.125,3,5,249299,103607,171951,173235,142181,215116,121279,211476,194369,164638,238496,108860,134501,194431,157699,205765
3210,-0.13162621734592125,-0.125,3,5,249299,103607,142288,215241,171844,173110,121279,211476,194369,164638,238496,108860,134501,194431,157699,205765
3211,-0.13162621734592125,-0.125,3,5,249299,103607,142288,215241,171844,173110,121279,211476,194369,164638,238496,108860,167298,188727,124902,211469
3212,-0.13162621734592125,-0.125,3,5,249299,103607,142288,215241,171844,173110,121279,211476,194369,164638,238496,108860,158686,209345,133514,190851
3213,-0.13162621734592125,-0.125,3,5,249299,103607,142288,215241,171844,173110,121279,211476,194369,164638,238496,108860,150207,205825,141993,194371
3214,-0.13162621734592125,-0.125,3,5,227261,142857,142288,215241,171844,173110,121279,211476,216407,125388,238496,108860,150207,205825,141993,194371
3215,-0.13162621734592125,-0.125,3,5,227261,142857,142288,215241,171844,173110,121279,211476,216407,125388,238496,108860,132864,192297,159336,207899
3216,-0.13162621734592125,-0.125,3,5,227261,142857,140629,212635,171844,173110,121279,211476,216407,125388,238496,108860,134523,194903,159336,207899
3217,-0.12985722861542007,-0.125,3,5,160630,201675,140629,212635,171844,173110,121279,211476,216407,125388,238496,108860,134523,194903,225967,149081
3218,-0.13354268160750482,-0.125,3,5,160630,201675,206535,124989,171844,173110,121279,211476,150501,213034,238496,108860,134523,194903,225967,149081
3219,-0.1318386395220788,-0.125,3,5,160630,201675,147502,211284,171844,173110,121279,211476,209534,126739,238496,108860,134523,194903,225967,149081
3220,-0.010460536301406973,0.0,4,4,160630,201675,147502,211284,117863,221577,175260,163009,209534,126739,238496,108860,134523,194903,225967,149081
3221,-0.012978384967112238,0.0,4,4,233860,106479,147502,211284,117863,221577,175260,163009,209534,126739,165266,204056,134523,194903,225967,149081
3222,-0.012978384967112238,0.0,4,4,233860,106479,147502,211284,117863,221577,175260,163009,191908,151385,165266,204056,134523,194903,243593,124435
3223,-0.012978384967112238,0.0,4,4,233860,106479,147502,211284,116995,218947,175260,163009,191908,151385,166134,206686,134523,194903,243593,124435
3224,-0.007743900666797517,0.0,4,4,233860,106479,191234,166647,116995,218947,175260,163009,148176,196022,166134,206686,134523,194903,243593,124435
3225,-0.007743900666797517,0.0,4,4,241204,137037,191234,166647,116995,218947,175260,163009,148176,196022,166134,206686,134523,194903,236249,93877
3226,-0.007743900666797517,0.0,4,4,241204,137037,216317,135916,116995,218947,175260,163009,148176,196022,166134,206686,134523,194903,211166,124608
3227,-0.01083442803714374,0.0,4,4,241204,137037,216317,135916,116995,218947,175260,163009,205915,121246,166134,206686,134523,194903,153427,199384
3228,-0.009130385951717732,0.0,4,4,241204,137037,216317,135916,116995,218947,175260,163009,149296,198766,166134,206686,134523,194903,210046,121864
3229,-0.009130385951717732,0.0,4,4,241204,137037,216317,135916,132638,192278,175260,163009,149296,198766,166134,206686,118880,221572,210046,121864
3230,-0.00937653732476516,0.0,4,4,241204,137037,216317,135916,132638,192278,174732,162851,149296,198766,166134,206686,119408,221730,210046,121864
3231,-0.00937653732476516,0.0,4,4,240020,137099,216317,135916,132638,192278,174732,162851,149296,198766,166134,206686,119408,221730,211230,121802
3232,-0.007158663218633731,0.0,4,4,240020,137099,216317,135916,132638,192278,179113,164651,149296,198766,166134,206686,115027,219930,211230,121802
3233,-0.008661047765207472,0.0,4,4,240020,137099,216317,135916,132638,192278,179113,164651,163371,188878,166134,206686,115027,219930,197155,131690
3234,-0.008661047765207472,0.0,4,4,240020,137099,216317,135916,135302,188897,179113,164651,163371,188878,166134,206686,112363,223311,197155,131690
3235,-0.006704036703107356,0.0,4,4,240020,137099,216317,135916,135302,188897,179113,164651,212282,122017,166134,206686,112363,223311,148244,198551
3236,-0.006149657881885376,0.0,4,4,172343,198932,216317,135916,135302,188897,179113,164651,212282,122017,233811,144853,112363,223311,148244,198551
3237,-0.006702960239376828,0.0,4,4,172343,198932,216317,135916,135302,188897,114180,223036,212282,122017,233811,144853,177296,164926,148244,198551
3238,-0.00747370827043496,0.0,4,4,172343,198932,133179,193168,218440,131645,114180,223036,212282,122017,233811,144853,177296,164926,148244,198551
3239,-0.00747370827043496,0.0,4,4,172343,198932,133179,193168,218440,131645,118731,212384,212282,122017,233811,144853,177296,164926,143693,209203
3240,-0.0064801322471575076,0.0,4,4,172343,198932,133179,193168,218440,131645,118731,212384,212282,122017,231956,149477,177296,164926,145548,204579
3241,-0.00879883512271507,0.0,4,4,172343,198932,133179,193168,218440,131645,124567,213010,212282,122017,231956,149477,171460,164300,145548,204579
3242,-0.008477331288530674,0.0,4,4,172343,198932,135978,189473,215641,135340,124567,213010,212282,122017,231956,149477,171460,164300,145548,204579
3243,-0.008477331288530674,0.0,4,4,172343,198932,134797,196157,215641,135340,125748,206326,212282,122017,231956,149477,171460,164300,145548,204579
3244,-0.00574167812801522,0.0,4,4,172343,198932,132039,191291,218399,140206,125748,206326,212282,122017,231956,149477,171460,164300,145548,204579
3245,-0.01181221592570678,0.0,4,4,172343,198932,132039,191291,218399,140206,125748,206326,213261,104120,231956,149477,171460,164300,144569,222476
3246,-0.01181221592570678,0.0,4,4,172343,198932,132039,191291,218399,140206,125748,206326,187165,171543,258052,82054,171460,164300,144569,222476
3247,-0.012039708594091722,0.0,4,4,172343,198932,132039,191291,218399,140206,125672,207036,187241,170833,258052,82054,171460,164300,144569,222476
3248,-0.014066330977432656,0.0,4,4,172343,198932,216224,136733,134214,194764,125672,207036,187241,170833,258052,82054,171460,164300,144569,222476
3249,-0.014066330977432656,0.0,4,4,172343,198932,216224,136733,134214,194764,125249,206129,187241,170833,258052,82054,171460,164300,144992,223383
3250,-0.014066330977432656,0.0,4,4,172343,198932,216224,136733,130511,187325,128952,213568,187241,170833,258052,82054,171460,164300,144992,223383
3251,-0.010475965614877876,0.0,4,4,230602,132361,157965,203304,130511,187325,128952,213568,187241,170833,258052,82054,171460,164300,144992,223383
3252,-0.007057834449207597,0.0,4,4,230602,132361,157965,203304,130511,187325,128952,213568,189530,178070,258052,82054,171460,164300,142703,216146
3253,-0.007413785122768894,0.0,4,4,230602,132361,157965,203304,130511,187325,128952,213568,189530,178070,258052,82054,170507,164261,143656,216185
3254,-0.007413785122768894,0.0,4,4,230602,132361,157965,203304,133447,190775,126016,210118,189530,178070,258052,82054,170507,164261,143656,216185
3255,-0.007413785122768894,0.0,4,4,230602,132361,138239,205088,153173,188991,126016,210118,189530,178070,258052,82054,170507,164261,143656,216185
3256,-0.007413785122768894,0.0,4,4,230602,132361,124922,210522,153173,188991,139333,204684,189530,178070,258052,82054,170507,164261,143656,216185
3257,-0.13931647423681412,-0.125,3,5,230602,132361,124922,210522,153173,188991,139333,204684,167846,194143,258052,82054,170507,164261,165340,200112
3258,-0.13931647423681412,-0.125,3,5,230602,132361,139244,209270,153173,188991,125011,205936,167846,194143,258052,82054,170507,164261,165340,200112
3259,-0.13931647423681412,-0.125,3,5,232620,147747,139244,209270,153173,188991,125011,205936,167846,194143,256034,66668,170507,164261,165340,200112
3260,-0.13985075906839958,-0.125,3,5,232620,147747,139244,209270,153173,188991,125011,205936,170066,193412,253814,67399,170507,164261,165340,200112
